Where do you live? (City and State/Country),Are you Male or Female?,What's your Age?,If I could live forever I would/would not?,Which closes fits what you think will happen when you die?,I think the following is most important for good health (choose one),How much do you think about your weight?,What do you do to help cope with stress most?,"If you spend the day being lazy, do you feel good or bad?","In general, do you feel life has been fair to you?",How many languages do you speak fluently?,Did you grow up with a pet?,My current relationship status:,Select where you usually get your information about the world from,Select how obedient or independent you think children should be,"If I could enhance my unborn child's DNA in only ONE way, I would improve their: (choose one)",How strict or lenient were your parents when you were growing up?,The following would make my life better (choose one),How much time do you spend alone each day?,How optimistic or pessimistic are you?,How many generations currently live in your household?,Who are you more similar to?,I would or would not say that one of the main goals in my life has been to make my parents proud,Where are you in the birth order of your siblings,My pet thinks of me as its _______________ (choose one),Rank how trustworthy you think people are,"In general, I do/do not feel that life has been fair to me",I think successful people more/less honest than the average person,Select where you feel safest,Do you know the names of your closest neighbors?,How safe or scary is your neighborhood?,"If there were a fire at my home, I would take the following item first",Who would you vote for president of the US?,I usually average X hours sleep each night,I usually wake up in the following way:,Pick how often you have lucid dreams,Pick how often your remember your dreams during the day,Pick what you mostly dream about,"If there were a pill that eliminated the need for sleep, I would/would not not take it",Have you slept-walked before?,Do you nap regularly?,Have you experienced love at first sight,Would you marry someone with whom you could never have children?,Do you think it is acceptable for a married person to have an affair?,Do you think love is necessary for marriage?,Do you kick your pet out of the room before having sex?,"If I could change ONE thing about my partner, it would be the following (pick one)",I was X years old when I got married,lat,lon
,male,22,would not,I will be reincarnated,Genes,At times,Alcohol/Drugs,good,Do,1,did,Single,Computer,Obedient,Nothing,Strict,More money,9,Optimistic,2,Both about equally,would,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,6,Alarm clock,Never,Seldom,Other,Would not,Have not,Do not,have not,would not,is not,is,,,,,
Bogot� Cundinamarca Colombia,male,33,would not,My spirit will return home,Environment,Never,Family/Friends,good,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,More money,3,Optimistic,2,Dad,would,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Money,Barack Obama,8,Alarm clock,Often,Often,Other,Would not,Have not,Do not,have not,would not,is,is,No,Looks,0,,
Falkirk  United Kingdom,male,45,would,My spirit will return home,Proper diet,Never,Alcohol/Drugs,bad,Do,0,did not,Married,Print media,Obedient,Nothing,Strict,Nothing,1,Optimistic,1,Dad,would,Middle,Owner,,Do,More,Home,Safe,Do,Money,Barack Obama,,,,,,,,,,,,,,,,,
Molenbeek-Saint-Jean Bruxelles Belgique,male,41,would,Nothing. Game over.,Environment,Sometimes,Family/Friends,bad,Do,2,did,Married,SmartPhone,Obedient,Immunity,Strict,More free time,2,Optimistic,2,Both about equally,would,I don't have any siblings,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,5,Alarm clock,Often,Often,Flying,Would,Have not,Do,have,would,is not,is,Yes,Nothing,25,,
Langley,male,33,would,Nothing. Game over.,Proper diet,At times,Family/Friends,good,Do,1,did,Cohabitating,SmartPhone,Obedient,Lifespan,Strict,Better health,3,Optimistic,2,Mom,would,Youngest,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,6,Alarm clock,Seldom,Often,Flying,Would,Have not,Do not,have,would,is,is not,No,Nothing,,,
,male,27,would not,I will go to heaven or hell,Proper diet,Constantly,Music/Art,good,Do,2,did not,Cohabitating,Other people,Obedient,Appearance,Strict,More money,9,Optimistic,2,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Other,,20,Naturally,Often,Often,Other,Would not,Have not,Do,have,would not,is,is,,Looks,,,
,male,47,would,Nothing. Game over.,Genes,Sometimes,Music/Art,good,Do,2,did,Married,SmartPhone,Obedient,Immunity,Strict,More money,10,Optimistic,1,Both about equally,would,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Other,,,,,,,,,,,,,,,,,,
,male,35,would,My spirit will return home,Exercise,At times,Family/Friends,good,,1,did,Married,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Rapids Iowa United States,male,30,would,Nothing. Game over.,Proper diet,Constantly,Music/Art,good,Do,10,did,Married,Computer,Obedient,Intelligence,Strict,More free time,1,Optimistic,2,Mom,would not,Oldest,Peer,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have not,Do not,have,would,is not,is not,Yes,Personality,20,,
Cornedo Vicentino Veneto Italia,male,29,would not,My spirit will return home,Genes,Sometimes,Family/Friends,bad,Do,2,did,Single,SmartPhone,,Appearance,,More money,10,Optimistic,1,Dad,would,Youngest,Peer,,Do,,Home,Safe,Do,Jewelry,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do not,have,would,is not,is,Yes,Sexual ability,0,,
Kangaroo Point Queensland Australia,male,27,would,Nothing. Game over.,Exercise,Never,Exercise,good,Do,1,did,Single,Computer,Obedient,Lifespan,Strict,Better romance,12,Optimistic,1,Both about equally,would not,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Money,Barack Obama,8,Alarm clock,Never,Seldom,Being chased,Would,Have not,Do not,have not,would,is not,is,Yes,Nothing,30,,
,male,48,would,I will be reincarnated,Religion,Never,Prayer,good,,7,did,Widowed,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramona California United States,male,22,would,Nothing. Game over.,Environment,At times,Alcohol/Drugs,,Do,0,did,Single,Computer,Obedient,Lifespan,Strict,Better romance,30,Optimistic,30,Dad,would not,Middle,Peer,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would,Have,Do not,have not,would,is,is,No,,,,
London Greater London United Kingdom,male,27,would not,Nothing. Game over.,Proper diet,Sometimes,Alcohol/Drugs,good,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,More money,1,Optimistic,1,Dad,would,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,8,Family member,Seldom,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,No,Nothing,26,,
Budapest Budapest Hungary,male,43,would,Nothing. Game over.,Environment,Sometimes,Family/Friends,good,Do,2,did not,Married,Computer,Obedient,Intelligence,Strict,Better romance,1,Optimistic,2,Dad,would not,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,6,Alarm clock,Seldom,Never,Other,Would,Have not,Do not,have not,would not,is not,is,Yes,Sexual ability,24,,
Paris �le-de-France France,male,40,would,Nothing. Game over.,Exercise,Constantly,Exercise,good,Do,2,did,Single,Print media,Obedient,Nothing,Strict,Better romance,10,Optimistic,1,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,8,Alarm clock,Seldom,Seldom,Flying,Would not,Have not,Do not,have,would not,is not,is,No,Nothing,0,,
Hopkinton Massachusetts United States,male,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsboro Oregon United States,female,31,would not,My spirit will return home,Environment,Sometimes,Music/Art,good,Do not,1,did,Single,Computer,Obedient,Intelligence,Strict,Better health,6,Optimistic,2,Neither,would not,Oldest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do,Photo albums,Barack Obama,10,Alarm clock,Seldom,Often,Other,Would not,Have not,Do not,have,would,is not,is,Yes,All of the above,0,,
San Diego California United States,male,28,would not,Nothing. Game over.,Exercise,Sometimes,Family/Friends,bad,Do,1,did,Married,SmartPhone,Obedient,Intelligence,Strict,More free time,6,Optimistic,2,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Gun,Barack Obama,6,Alarm clock,Seldom,Seldom,Being chased,Would,Have not,Do not,have,would,is not,is,Yes,Nothing,19,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Alarm clock,Often,Often,Other,Would not,Have not,Do not,,,,,,,,,
Bangalore Karnataka India,male,39,would,I will go to heaven or hell,Proper diet,Constantly,Prayer,bad,Do,2,did not,Married,Tablet,Obedient,Nothing,Strict,Nothing,0,Optimistic,0,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Jewelry,Barack Obama,5,Alarm clock,Often,Seldom,Other,Would not,Have not,Do not,have,would not,is not,is,Yes,Nothing,25,,
,male,35,would,Nothing. Game over.,Proper diet,Never,Alcohol/Drugs,good,Do,3,did not,Married,SmartPhone,Obedient,Immunity,Strict,Better health,4,Optimistic,1,Both about equally,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,I don't feel safe,Safe,Do,Other,Barack Obama,7,Alarm clock,Often,Seldom,Other,Would,Have not,Do,have not,would,is not,is,Yes,Nothing,30,,
Toronto Ontario Canada,male,32,would,I will go to heaven or hell,Exercise,Constantly,Exercise,bad,Do,1,did not,Single,SmartPhone,Obedient,Intelligence,Strict,More money,20,Optimistic,1,Neither,would not,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Money,Barack Obama,8,Alarm clock,Seldom,Often,Flying,Would not,Have not,Do not,have,would,is not,is,No,All of the above,0,,
Ignacio Colorado United States,male,27,would not,I will go to heaven or hell,Exercise,Sometimes,Work,bad,Do,1,did,Single,Tablet,Obedient,Nothing,Strict,More free time,15,Optimistic,2,Dad,would,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,53,Alarm clock,Often,Never,Being chased,Would not,Have not,Do not,have not,would,is not,is,Yes,,,,
,female,39,would,I will go to heaven or hell,Proper diet,Constantly,Prayer,good,Do,1,did,Married,SmartPhone,Obedient,Intelligence,Strict,Nothing,2,Optimistic,2,Neither,would not,I don't have any siblings,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Often,Seldom,Other,Would not,Have not,Do not,have not,would not,is not,is,Yes,Sexual ability,24,,
,male,30,would not,Nothing. Game over.,Proper diet,Constantly,Family/Friends,good,Do,2,did,Married,Computer,Obedient,Nothing,Strict,More free time,1,Optimistic,2,Mom,would,Oldest,Peer,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,,,,,,,,,,,,,,,,,
Sausalito California United States,female,34,would not,My spirit will return home,Genes,Constantly,Family/Friends,bad,Do,0,did,Cohabitating,Computer,Obedient,Intelligence,Strict,More money,1,Optimistic,2,Mom,would not,Youngest,Playmate,Untrustworthy,Do,More,Home,,Do,Electronics,Barack Obama,6,Alarm clock,Seldom,Never,Naked in public,Would not,Have not,Do not,have,would,is not,is,No,Personality,,,
Herzliya  Israel,male,41,would,Nothing. Game over.,Proper diet,Sometimes,Exercise,good,,2,did,Married,Computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,have,would,is not,is,No,Personality,27,,
,male,44,would not,I will be reincarnated,Exercise,Sometimes,Family/Friends,bad,,1,did not,Married,Computer,Obedient,Intelligence,Strict,Better job,2,Optimistic,1,Dad,would,Youngest,I don't have a pet,,,,,,,,,6,Naturally,Seldom,Often,Falling,Would,Have not,Do not,have,would not,is not,is,Yes,Nothing,25,,
Lages Santa Catarina Rep�blica Federativa do Brasil,male,18,would,Nothing. Game over.,Proper diet,At times,Alcohol/Drugs,good,Do not,1,did not,Widowed,Computer,Obedient,Appearance,Strict,More money,16,Optimistic,1,Neither,would,Youngest,Owner,Untrustworthy,Do not,More,Home,Safe,Do,Other,Barack Obama,6,Alarm clock,Seldom,Seldom,Falling,Would,Have not,Do not,have,would,is not,is,Yes,Personality,18,,
Gainesville Florida United States,male,26,would not,I will go to heaven or hell,Exercise,At times,Exercise,bad,Do,10,did not,Married,TV,Obedient,Immunity,Strict,Better romance,8,Optimistic,2,Mom,would,Middle,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Mitt Romney,4,Alarm clock,Often,Seldom,Other,Would,Have not,Do not,have,would not,is not,is,Yes,Personality,24,,
Beersheba  Israel,male,41,would not,Nothing. Game over.,Proper diet,Sometimes,Music/Art,good,Do,3,did not,Married,Computer,Obedient,Intelligence,Strict,More free time,4,Optimistic,2,Dad,would not,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Mitt Romney,6,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do not,have not,would not,is not,is,Yes,Nothing,24,,
Jojutla Morelos M�xico,male,19,would not,Nothing. Game over.,Exercise,Constantly,Music/Art,bad,Do,2,did not,Single,SmartPhone,,Intelligence,,Better romance,5,Optimistic,2,Mom,would not,Youngest,I don't have a pet,Untrustworthy,Do,,Home,Safe,Do,Photo albums,,5,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,Yes,Looks,0,,
Lomas del Mirador Buenos Aires Argentina,male,18,would,I will go to heaven or hell,Genes,Sometimes,Exercise,bad,Do,2,did,Single,Computer,,Intelligence,,Better romance,0,,1,Mom,would,Youngest,Playmate,,Do,,Home,,Do not,Electronics,,7,Family member,Seldom,Seldom,Being unprepared,Would,Have not,Do not,have,would,is not,is,Yes,Personality,,,
,female,23,would,Nothing. Game over.,Proper diet,Constantly,Family/Friends,bad,Do,1,did,Cohabitating,Computer,Obedient,Intelligence,Strict,More money,4,Optimistic,1,Mom,would not,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,8,Naturally,Seldom,Often,Being chased,Would not,Have not,Do not,have not,would,is not,is,Yes,Nothing,0,,
Goi�nia Goi� Rep�blica Federativa do Brasil,male,30,would,Nothing. Game over.,,Sometimes,Music/Art,good,,2,did not,Single,Computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,would,Nothing. Game over.,Proper diet,Sometimes,Family/Friends,good,Do,2,did,Married,Computer,Obedient,Nothing,Strict,More free time,2,Optimistic,2,Mom,would not,I don't have any siblings,Owner,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,6,Alarm clock,Seldom,Never,Other,Would not,Have not,Do not,have not,would not,is not,is,No,Nothing,30,,
Nanaimo British Columbia Canada,male,32,would not,Nothing. Game over.,Proper diet,At times,Exercise,bad,Do,1,did not,Married,Computer,Obedient,Lifespan,Strict,Better job,1,Optimistic,2,Mom,would not,Oldest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,7,Alarm clock,Often,Often,Other,Would,Have not,Do not,have not,would,is not,is not,No,All of the above,28,,
Malm�  Sverige,male,27,would,Nothing. Game over.,Exercise,At times,Music/Art,bad,Do,2,did,Cohabitating,Computer,Obedient,Intelligence,Strict,Better health,2,Optimistic,1,Neither,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,8,Alarm clock,Seldom,Seldom,Being chased,Would not,Have,Do not,have not,would,is not,is not,Yes,Looks,,,
Bandung West Java Indonesia,male,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,26,would not,I will go to heaven or hell,Religion,Sometimes,Prayer,bad,,3,did,Single,Computer,Obedient,Nothing,Strict,Better romance,5,Optimistic,2,Both about equally,would,Youngest,Peer,,,,,,,,,,,,,,,,,,,,,,,,,
Auckland Auckland New Zealand,male,50,would,I will be reincarnated,Proper diet,At times,Exercise,bad,Do,1,did,Married,Computer,Obedient,Nothing,Strict,Better health,2,Optimistic,2,Both about equally,would,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,6,Naturally,Often,Often,Other,Would not,Have,Do not,have not,would,is not,is,Yes,Nothing,38,,
Palo Alto California United States,male,28,would not,I will be reincarnated,Exercise,At times,Family/Friends,bad,Do,1,did not,Single,Computer,,,,,,,,,,,,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,,7,Naturally,Seldom,Seldom,Other,Would not,Have not,Do,have,would,is not,is,Yes,Nothing,,,
Kalamaria Makedonia Thraki Greece,male,32,would,My spirit will return home,Exercise,Constantly,Family/Friends,bad,Do not,2,did,Single,SmartPhone,Obedient,Immunity,Strict,More money,13,Optimistic,1,Neither,would not,Middle,Mom or Dad,Untrustworthy,Do not,More,Home,Safe,Do,Electronics,Barack Obama,6,Alarm clock,Often,Often,Being unprepared,Would,Have not,Do not,have,would,is not,is,No,Intelligence,0,,
Church Stretton Shropshire United Kingdom,male,74,would not,My spirit will return home,Genes,At times,Exercise,good,,1,did not,Married,Print media,,Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,30,would,Nothing. Game over.,Proper diet,Constantly,Family/Friends,good,,2,did not,Single,Computer,Obedient,Intelligence,Strict,More money,12,Optimistic,4,Dad,would not,Middle,I don't have a pet,,,,,,,,,,,,,,,,,,,,,,,,,
Newark New Jersey United States,male,21,would,I will go to heaven or hell,Proper diet,Constantly,Alcohol/Drugs,good,Do,2,did not,Cohabitating,Computer,Obedient,Nothing,Strict,More money,6,Optimistic,1,Mom,would,Youngest,I don't have a pet,Untrustworthy,Do,More,School,Safe,Do not,Photo albums,Barack Obama,7,Naturally,Seldom,Seldom,Being chased,Would,Have not,Do not,have,would,is not,is,Yes,Nothing,,,
Round Rock Texas United States,female,31,would not,I will go to heaven or hell,Exercise,Sometimes,Alcohol/Drugs,good,Do,2,did,Single,TV,Obedient,Intelligence,Strict,More money,4,Optimistic,1,Dad,would not,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Mitt Romney,6,Family member,Often,Seldom,Other,Would not,Have not,Do,have,would,is not,is,Yes,Sexual ability,0,,
St Helena California United States,male,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarasota,male,19,would not,Nothing. Game over.,Exercise,Sometimes,Music/Art,bad,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,Better romance,5,Optimistic,2,Neither,would not,Middle,Playmate,Untrustworthy,Do,More,Work,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Seldom,Often,Being unprepared,Would not,Have not,Do not,have not,would not,is not,is,Yes,Nothing,99,,
,female,43,would not,My spirit will return home,Proper diet,Constantly,Family/Friends,bad,Do,20,did,Married,Computer,Obedient,Immunity,Strict,More money,10,Optimistic,20,Both about equally,would not,Youngest,I don't have a pet,,Do,More,Home,Safe,Do,Photo albums,,,,,,,,,,,,,,,,,,
,female,26,would not,I will be reincarnated,Proper diet,At times,Family/Friends,good,,1,did,Single,Computer,Obedient,Lifespan,,Better romance,,,3,Dad,would not,Oldest,Peer,Untrustworthy,,,Home,Safe,Do not,Electronics,,10,Alarm clock,Often,Seldom,Being chased,Would not,Have not,,have not,would,is not,is,,All of the above,,,
Singapore,female,21,would not,Nothing. Game over.,Exercise,Sometimes,Family/Friends,bad,Do,2,did,Single,SmartPhone,Obedient,Intelligence,Strict,Better romance,9,Optimistic,2,Both about equally,would,Oldest,Peer,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do,have not,would,is not,is,Yes,Nothing,,,
Austin Texas United States,male,47,would,Nothing. Game over.,Genes,Constantly,Music/Art,good,Do,1,did,Divorced,Computer,Obedient,Lifespan,Strict,More money,16,Optimistic,1,Both about equally,would not,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do,have,would,is not,is,Yes,Intelligence,30,,
,male,24,would not,I will go to heaven or hell,Environment,At times,Family/Friends,bad,Do,1,did,Single,Computer,Obedient,Nothing,Strict,Better job,3,Optimistic,3,Mom,would not,I don't have any siblings,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would not,Have,Do not,have,would,is not,is,Yes,Nothing,,,
San Francisco California United States,female,20,would not,Nothing. Game over.,Exercise,At times,Exercise,good,,2,did not,Divorced,Tablet,Obedient,Nothing,Strict,More free time,10,Optimistic,1,Neither,would not,I don't have any siblings,,,,,,,,,,,,,,,,,,,,,,,,,,
Auckland Auckland New Zealand,male,46,would,Nothing. Game over.,Exercise,Never,Family/Friends,bad,Do,1,did,Married,TV,Obedient,Immunity,Strict,More money,1,Optimistic,1,Mom,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,,,,,,,,,,,,,,,,,
,male,29,would,Nothing. Game over.,Environment,At times,Music/Art,bad,Do not,2,did not,Single,Computer,,,,,,,,,,,,Untrustworthy,Do not,More,Home,Safe,Do not,Money,Barack Obama,8,Naturally,Seldom,Seldom,Other,Would,Have not,Do not,have,would not,is not,is not,No,Personality,30,,
Boston Massachusetts United States,male,25,would,Nothing. Game over.,Exercise,Sometimes,Family/Friends,bad,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,Better romance,1,Optimistic,1,Neither,would not,Oldest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do not,Money,Barack Obama,7,Alarm clock,Never,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,Yes,Intelligence,,,
Clinton Massachusetts United States,female,29,would not,Nothing. Game over.,Exercise,Sometimes,Exercise,bad,Do not,1,did,Single,Computer,Obedient,Intelligence,Strict,Better romance,6,Optimistic,1,Neither,would not,Middle,Mom or Dad,Untrustworthy,Do not,More,Home,Safe,Do not,Other,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would,Have,Do not,have not,would,is not,is,Yes,Intelligence,0,,
Seattle Washington United States,male,34,would not,Nothing. Game over.,Genes,Sometimes,Alcohol/Drugs,good,Do,1,did,Cohabitating,SmartPhone,Obedient,Intelligence,Strict,More free time,2,Optimistic,1,Dad,would,Oldest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Naturally,Seldom,Seldom,Other,Would,Have not,Do,have not,would,is not,is,Yes,Looks,,,
Raleigh North Carolina United States,male,35,would,Nothing. Game over.,Proper diet,Sometimes,Family/Friends,good,Do not,1,did,Single,Computer,Obedient,Intelligence,Strict,Better health,10,Optimistic,1,Mom,would,Oldest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do not,Other,Barack Obama,7,Alarm clock,Seldom,Never,Being chased,Would not,Have not,Do not,have not,would,is not,is,Yes,Nothing,,,
